"","mean","se_mean","sd","10%","90%","n_eff","Rhat"
"lambda[181]",60.06762195,0.688166449172287,28.551179483885,32.19394,93.88901,1721.31803038055,1.00790516985475
"lambda[182]",17.6329450925,0.0776317548395139,6.10062097786645,10.63081,25.25053,6175.45954266743,0.999700734066719
"lambda[183]",12.8634703075,0.0984705125222728,6.30802628269485,6.663018,20.95797,4103.69043145274,0.999866206887338
"lambda[184]",8.49028732,0.0378189572812178,2.71751153548154,5.489886,11.76812,5163.25639215926,0.999547403967328
"lambda[185]",10.761423629,0.643872052232387,17.8291969459689,2.11006,32.60288,766.768768969602,1.00805333222921
"lambda[186]",9.5727559275,0.0397878603934377,3.03359280175735,6.206287,13.27711,5813.17503026604,0.999313437508102
"lambda[187]",7.098090355,0.252300055108303,6.95951736053465,3.550393,9.709532,760.892939658847,1.00870308345881
"lambda[188]",16.54362434,0.0756383192446378,5.09250866102979,10.22404,23.19781,4532.93835420179,0.999961898321149
"lambda[189]",3.574693906,0.0122486032808415,0.98430529838856,2.344311,4.877536,6457.82851992799,1.00043938979919
"lambda[190]",17.89345669,0.116125140916147,7.42008586839498,10.5563,26.43817,4082.86814062058,1.00112791728072
"lambda[191]",23.4377185675,0.306296597105362,15.4010362275316,9.416109,41.34066,2528.22394980865,0.999960202525781
"lambda[192]",5.29079756125,1.44780149239028,18.4806807683883,1.169966,3.840959,162.936315164978,1.02711044619351
"lambda[193]",10.1466675075,0.0667206670108271,4.1355717788964,6.346593,14.17757,3841.93813596567,0.999173333064169
"lambda[194]",9.7994090925,0.0378777887398861,2.98657691886358,6.428413,13.67238,6216.96144243589,0.999467299914502
"lambda[195]",14.7398532675,0.0630144287661,4.72071335500418,9.494097,20.54618,5612.22732294683,0.999613171183888
"lambda[196]",23.9983225245,1.51204882547051,29.1064586304867,1.770302,61.75706,370.550246196017,1.00685840872402
"lambda[197]",9.1096566925,0.135645546141408,5.12997459666877,5.36504,13.26959,1430.27435608914,1.00118887825803
"lambda[198]",6.252650935,0.0186157927887535,1.55451295075964,4.374563,8.2928,6973.09555685989,1.00038672091299
"lambda[199]",18.290992745,0.349462168131591,17.0335599296372,4.612613,40.33008,2375.80346625535,0.999562270809943
"lambda[200]",10.790374625,0.0388956934748983,3.14000626674923,7.00692,14.96424,6517.15412371653,0.999384932587856
"lambda[201]",11.0488448875,0.0371439814331177,3.23828171672829,7.14731,15.31365,7600.67825082424,0.999390085596679
"lambda[202]",26.3619521875,0.206213488015849,12.9181190058384,12.92152,42.37064,3924.32010841221,1.00252467118605
"lambda[203]",5.59972901125,0.486340669724314,8.18657957263374,2.482136,6.818318,283.350379041787,1.0087788374514
"lambda[204]",5.3140505875,0.0451981061954177,2.01922297574334,3.404616,7.318705,1995.85084391147,1.00077900418871
"lambda[205]",27.31029802,0.319564112721351,15.8728474442498,13.08677,45.47785,2467.13935370403,1.00014797745104
"lambda[206]",35.305054725,0.180932966143952,11.176348304214,23.47663,48.98868,3815.6141430564,1.00150245713794
"lambda[207]",11.49566252,0.195642202336768,9.49190687984316,4.909407,20.67776,2353.86662857765,0.999824597449046
"lambda[208]",4.64204560025,0.0664702648988809,2.61194405703549,2.756924,6.517789,1544.09111077876,1.00169836705505
"lambda[209]",8.841191225,0.0472790940938065,3.11264503320487,5.710371,12.10978,4334.31928185981,0.999419447901099
"lambda[210]",8.60848662,0.0896725379392535,4.13620124564537,5.266738,11.91785,2127.57265189849,1.00118809180644
"lambda[211]",8.87297142,0.226759825908819,9.63100924583857,3.312978,16.50665,1803.89547758918,1.00082619048626
