"","mean","se_mean","sd","10%","90%","n_eff","Rhat"
"phi[80]",0.25335360101,0.0059153581048518,0.2261098921527,0.03917382,0.6193285,1461.09025245168,1.01009246372729
"phi[81]",0.41403005033,0.00268059810984879,0.188622744280508,0.1838443,0.6800612,4951.36228430881,1.00148547290608
"phi[82]",0.0499746265675,0.00170451771987819,0.0540040183311733,0.0128843,0.09790307,1003.80443729702,1.00295964800023
"phi[83]",0.72495404648,0.00454379554182603,0.152795785490499,0.5167099,0.8968183,1130.79840865807,1.00937788590738
"phi[84]",0.4105996795625,0.00356077094618126,0.218786761113016,0.1275247,0.7205597,3775.32203440856,1.00065069279803
"phi[85]",0.04865762317025,0.000741013256488602,0.0427217884021882,0.01245486,0.09874382,3323.89192510855,1.00401803251383
"phi[86]",0.4697601874525,0.0041685399568233,0.236135685608334,0.170138,0.805457,3208.89355302506,1.0001804871406
"phi[87]",0.63326550735,0.0031809564504664,0.137169371096757,0.4557891,0.8015627,1859.51141288455,1.00836097680882
"phi[88]",0.3086096766,0.0014899785748836,0.11098326219079,0.1808483,0.4545775,5548.23598997183,1.00208837429507
"phi[89]",0.524999434985,0.00609059184250984,0.290464044004822,0.0824249,0.8710192,2274.39434128241,1.00052695639555
"phi[90]",0.72649957407655,0.295569739496864,0.419388942809074,0.00155346,0.9941745,2.01332559452066,12.0823918150344
"phi[91]",0.25219975952575,0.0400944692530534,0.376868934062751,0.005727912,0.9361128,88.3510552016332,1.0593960462612
"phi[92]",0.23681665157,0.00305905077637885,0.142919955523319,0.06906305,0.4181284,2182.79209939549,1.00548748966742
"phi[93]",0.2315361846635,0.0330520368935113,0.34770622179006,0.005233197,0.9199573,110.66963208568,1.04776122749575
"phi[94]",0.1946499669375,0.00220800660984523,0.134893385158082,0.05312802,0.3764577,3732.33458041327,1.00088700093876
"phi[95]",0.288136973105,0.00227319200936794,0.158412111350393,0.09038427,0.5013368,4856.28899251366,0.999913019648891
"phi[96]",0.1703831633875,0.00158250040289056,0.101807243515011,0.06513962,0.2942193,4138.75481666689,1.00103158598068
"phi[97]",0.3471074486025,0.00466594477291004,0.246151499256273,0.05498704,0.7127266,2783.08059008186,1.00560905373779
"phi[98]",0.109630607665,0.00473632797140242,0.163877154263265,0.01445592,0.2512082,1197.16301637445,1.00624369287323
"phi[99]",0.259094380025,0.00318643721851951,0.176512843008258,0.06027485,0.5095892,3068.6113547224,1.00385527221846
"phi[100]",0.266309120275,0.00171692497874517,0.124327913740209,0.1167645,0.4310787,5243.66156966356,1.00062572729148
"phi[101]",0.14445691272,0.00103683956787945,0.0773702389531524,0.05389453,0.2505884,5568.32725929491,0.99996218063699
"phi[102]",0.17157639219,0.00179038904171146,0.114186131545302,0.05482509,0.3143759,4067.54061229155,1.00083829716668
"phi[103]",0.3400999198475,0.00266837185926406,0.186549512209175,0.1117104,0.6113282,4887.59859986598,1.00394803458147
"phi[104]",0.3940884131375,0.0101737997209884,0.299753044463153,0.03400989,0.8295018,868.082172882119,1.0167406127367
